iter	Logloss	Accuracy
0	0.6656812566	0.6326259947
1	0.6304005306	0.6790450928
2	0.6147720397	0.699602122
3	0.5986872234	0.7015915119
4	0.5825653699	0.7082228117
5	0.5677987011	0.7327586207
6	0.5603530874	0.7340848806
7	0.5561711875	0.7380636605
8	0.5479152432	0.7420424403
9	0.5427341373	0.74933687
10	0.5364165635	0.7433687003
11	0.5278447641	0.7559681698
12	0.5240915509	0.7612732095
13	0.5201038669	0.7572944297
14	0.5137772939	0.7698938992
15	0.5075112561	0.7785145889
16	0.5006835698	0.7791777188
17	0.4921581936	0.7811671088
18	0.4870536562	0.7798408488
19	0.4808256727	0.7917771883
20	0.4776612386	0.7917771883
21	0.4746357234	0.7911140584
22	0.4705972327	0.7937665782
23	0.4622035277	0.801061008
24	0.457985181	0.8057029178
25	0.4489197456	0.8096816976
26	0.4448818994	0.8236074271
27	0.4423457753	0.825596817
28	0.4365300939	0.825596817
29	0.4337683493	0.825596817
30	0.4297657212	0.8282493369
31	0.4242095033	0.8335543767
32	0.4192702056	0.8335543767
33	0.4156742208	0.8415119363
34	0.4117920487	0.8415119363
35	0.4080758494	0.8428381963
36	0.4038413168	0.8428381963
37	0.3984619846	0.8454907162
38	0.3906413848	0.8587533156
39	0.3868532118	0.8600795756
40	0.382122377	0.8633952255
41	0.3778004042	0.8653846154
42	0.3763727827	0.8673740053
43	0.3722889111	0.8700265252
44	0.3680180712	0.874668435
45	0.3664486511	0.8720159151
46	0.3659628207	0.875994695
47	0.3613270137	0.8799734748
48	0.3549067812	0.8859416446
49	0.3480367243	0.8965517241
