iter	Passed	Remaining
0	145	14398
1	146	7183
2	147	4780
3	149	3578
4	150	2857
5	151	2374
6	152	2031
7	154	1772
8	155	1571
9	156	1410
10	158	1279
11	159	1169
12	160	1076
13	162	996
14	163	925
15	164	865
16	165	810
17	167	761
18	168	718
19	169	678
20	170	642
21	172	609
22	173	579
23	174	551
24	175	526
25	176	502
26	177	481
27	179	460
28	180	441
29	181	423
30	182	406
31	183	390
32	184	375
33	185	360
34	187	347
35	188	334
36	189	322
37	190	310
38	191	299
39	192	288
40	193	278
41	194	269
42	195	259
43	197	250
44	198	242
45	199	234
46	200	226
47	201	218
48	202	211
49	203	203
50	205	196
51	206	190
52	207	183
53	208	177
54	209	171
55	210	165
56	211	159
57	212	154
58	214	148
59	215	143
60	216	138
61	217	133
62	218	128
63	219	123
64	220	118
65	221	114
66	222	109
67	224	105
68	225	101
69	226	96
70	227	92
71	228	88
72	229	84
73	230	81
74	232	77
75	233	73
76	234	70
77	235	66
78	236	62
79	237	59
80	239	56
81	240	52
82	241	49
83	242	46
84	243	42
85	244	39
86	245	36
87	246	33
88	247	30
89	249	27
90	250	24
91	251	21
92	252	19
93	253	16
94	254	13
95	255	10
96	256	7
97	257	5
98	259	2
99	260	0
